ax_clip,deltaf_clip_deg,timestep
4.743906021118164062e+00,1.288200765848159790e-01,1.850000000000000000e+02
4.826041221618652344e+00,1.224270239472389221e-01,1.860000000000000000e+02
4.843929767608642578e+00,1.160872653126716614e-01,1.870000000000000000e+02
4.915962219238281250e+00,1.097741052508354187e-01,1.880000000000000000e+02
4.980726242065429688e+00,1.043400093913078308e-01,1.890000000000000000e+02
5.000000000000000000e+00,9.999806433916091919e-02,1.900000000000000000e+02
5.000000000000000000e+00,9.618885815143585205e-02,1.910000000000000000e+02
5.000000000000000000e+00,9.229975938796997070e-02,1.920000000000000000e+02
5.000000000000000000e+00,8.790452778339385986e-02,1.930000000000000000e+02
5.000000000000000000e+00,8.294991403818130493e-02,1.940000000000000000e+02
5.000000000000000000e+00,7.780882716178894043e-02,1.950000000000000000e+02
5.000000000000000000e+00,7.314722239971160889e-02,1.960000000000000000e+02
5.000000000000000000e+00,6.944457441568374634e-02,1.970000000000000000e+02
5.000000000000000000e+00,6.688734889030456543e-02,1.980000000000000000e+02
4.649381637573242188e+00,6.515590101480484009e-02,1.990000000000000000e+02
4.181151390075683594e+00,6.179954856634140015e-02,2.000000000000000000e+02
3.760082960128784180e+00,5.575278028845787048e-02,2.010000000000000000e+02
3.381436109542846680e+00,4.800120368599891663e-02,2.020000000000000000e+02
3.040910482406616211e+00,4.075573757290840149e-02,2.030000000000000000e+02
2.734679937362670898e+00,3.641378879547119141e-02,2.040000000000000000e+02
2.459285736083984375e+00,3.617404401302337646e-02,2.050000000000000000e+02
2.211605787277221680e+00,3.931729868054389954e-02,2.060000000000000000e+02
1.988868951797485352e+00,4.339287057518959045e-02,2.070000000000000000e+02
1.788572907447814941e+00,4.523087292909622192e-02,2.080000000000000000e+02
1.608449935913085938e+00,4.262037947773933411e-02,2.090000000000000000e+02
1.446480035781860352e+00,3.561465442180633545e-02,2.100000000000000000e+02
1.300831556320190430e+00,2.669101022183895111e-02,2.110000000000000000e+02
1.169851660728454590e+00,1.976519823074340820e-02,2.120000000000000000e+02
1.052049994468688965e+00,1.816693507134914398e-02,2.130000000000000000e+02
9.461070895195007324e-01,2.280190400779247284e-02,2.140000000000000000e+02
8.508228659629821777e-01,3.137925267219543457e-02,2.150000000000000000e+02
7.651342153549194336e-01,3.915747255086898804e-02,2.160000000000000000e+02
6.880759000778198242e-01,4.136840254068374634e-02,2.170000000000000000e+02
6.187853813171386719e-01,3.556137904524803162e-02,2.180000000000000000e+02
5.564981102943420410e-01,2.349448204040527344e-02,2.190000000000000000e+02
5.004840493202209473e-01,1.049526780843734741e-02,2.200000000000000000e+02
4.501068592071533203e-01,3.116615349426865578e-03,2.210000000000000000e+02
4.047985374927520752e-01,5.753750912845134735e-03,2.220000000000000000e+02
3.640252947807312012e-01,1.790055818855762482e-02,2.230000000000000000e+02
3.273644149303436279e-01,3.388320282101631165e-02,2.240000000000000000e+02
2.944016456604003906e-01,4.515096172690391541e-02,2.250000000000000000e+02
2.647569179534912109e-01,4.464484378695487976e-02,2.260000000000000000e+02
2.381057143211364746e-01,3.079322166740894318e-02,2.270000000000000000e+02
2.141619175672531128e-01,9.110105223953723907e-03,2.280000000000000000e+02
1.926393955945968628e-01,-9.909237734973430634e-03,2.290000000000000000e+02
1.732648462057113647e-01,-1.579617708921432495e-02,2.300000000000000000e+02
1.558205038309097290e-01,-3.889109240844845772e-03,2.310000000000000000e+02
1.401184648275375366e-01,2.144337818026542664e-02,2.320000000000000000e+02
1.260007023811340332e-01,4.794792458415031433e-02,2.330000000000000000e+02
1.133049800992012024e-01,6.113360449671745300e-02,2.340000000000000000e+02
1.018946245312690735e-01,5.181039869785308838e-02,2.350000000000000000e+02
9.164153784513473511e-02,2.181630581617355347e-02,2.360000000000000000e+02
8.246884495019912720e-02,-1.542324852198362350e-02,2.370000000000000000e+02
7.421854138374328613e-02,-4.078237339854240417e-02,2.380000000000000000e+02
6.674971431493759155e-02,-3.907756134867668152e-02,2.390000000000000000e+02
5.999830365180969238e-02,-7.831494323909282684e-03,2.400000000000000000e+02
5.393441766500473022e-02,3.969022631645202637e-02,2.410000000000000000e+02
4.850681126117706299e-02,7.959355413913726807e-02,2.420000000000000000e+02
4.360872879624366760e-02,8.894340693950653076e-02,2.430000000000000000e+02
3.919319808483123779e-02,5.838991701602935791e-02,2.440000000000000000e+02
3.528156131505966187e-02,-8.790452848188579082e-04,2.450000000000000000e+02
3.183967247605323792e-02,-6.060085073113441467e-02,2.460000000000000000e+02
2.870096825063228607e-02,-8.846391737461090088e-02,2.470000000000000000e+02
2.576297149062156677e-02,-6.518253684043884277e-02,2.480000000000000000e+02
2.308973670005798340e-02,3.223166102543473244e-03,2.490000000000000000e+02
2.077948302030563354e-02,8.540058135986328125e-02,2.500000000000000000e+02
1.872117817401885986e-02,1.382498443126678467e-01,2.510000000000000000e+02
1.675682142376899719e-02,1.289532780647277832e-01,2.520000000000000000e+02
1.498463004827499390e-02,5.407460406422615051e-02,2.530000000000000000e+02
1.358395721763372421e-02,-5.447417125105857849e-02,2.540000000000000000e+02
1.243950519710779190e-02,-1.421389430761337280e-01,2.550000000000000000e+02
1.119256578385829926e-02,-1.585478037595748901e-01,2.560000000000000000e+02
9.843138046562671661e-03,-8.534730970859527588e-02,2.570000000000000000e+02
8.762741461396217346e-03,4.946627840399742126e-02,2.580000000000000000e+02
8.070945739746093750e-03,1.805505901575088501e-01,2.590000000000000000e+02
7.306554820388555527e-03,2.358504980802536011e-01,2.600000000000000000e+02
6.247510202229022980e-03,1.750365495681762695e-01,2.610000000000000000e+02
5.470308009535074234e-03,1.555643696337938309e-02,2.620000000000000000e+02
5.363549571484327316e-03,-1.689897924661636353e-01,2.630000000000000000e+02
5.248250439763069153e-03,-2.815075814723968506e-01,2.640000000000000000e+02
4.381370730698108673e-03,-2.511938512325286865e-01,2.650000000000000000e+02
3.335137153044342995e-03,-7.557125389575958252e-02,2.660000000000000000e+02
3.211297094821929932e-03,1.690164357423782349e-01,2.670000000000000000e+02
3.570005763322114944e-03,3.585172891616821289e-01,2.680000000000000000e+02
2.933724783360958099e-03,3.821715712547302246e-01,2.690000000000000000e+02
1.580026582814753056e-03,2.048175483942031860e-01,2.700000000000000000e+02
1.503160339780151844e-03,-1.038871705532073975e-01,2.710000000000000000e+02
2.835507038980722427e-03,-3.934660255908966064e-01,2.720000000000000000e+02
2.972157904878258705e-03,-5.036130547523498535e-01,2.730000000000000000e+02
9.565565851517021656e-04,-3.504726886749267578e-01,2.740000000000000000e+02
-1.708136696834117174e-04,1.771409437060356140e-02,2.750000000000000000e+02
1.592837506905198097e-03,4.290274083614349365e-01,2.760000000000000000e+02
2.920913975685834885e-03,6.650909781455993652e-01,2.770000000000000000e+02
4.996299976482987404e-04,5.737768411636352539e-01,2.780000000000000000e+02
-2.165063284337520599e-03,1.609718501567840576e-01,2.790000000000000000e+02
1.238399127032607794e-04,-3.915747106075286865e-01,2.800000000000000000e+02
4.125150386244058609e-03,-8.015828132629394531e-01,2.810000000000000000e+02
2.199226059019565582e-03,-8.266754746437072754e-01,2.820000000000000000e+02
-3.587087150663137436e-03,-4.017503261566162109e-01,2.830000000000000000e+02
-2.963617211207747459e-03,3.018321990966796875e-01,2.840000000000000000e+02
4.103798419237136841e-03,9.379945397377014160e-01,2.850000000000000000e+02
4.543643910437822342e-03,1.151123166084289551e+00,2.860000000000000000e+02
-4.876730497926473618e-03,7.684187889099121094e-01,2.870000000000000000e+02
