cost_real_0,cost_real_1,cost_real_2,timestep
-1.000000000000000000e+00,-5.474905967712402344e-01,-6.933601856231689453e+00,9.800000000000000000e+01
-1.000000000000000000e+00,-1.582339525222778320e+00,-6.653044700622558594e+00,9.900000000000000000e+01
-1.000000000000000000e+00,-2.621362686157226562e+00,-6.391038417816162109e+00,1.000000000000000000e+02
-1.000000000000000000e+00,-3.634768009185791016e+00,-6.146861076354980469e+00,1.010000000000000000e+02
-1.000000000000000000e+00,-4.618101119995117188e+00,-7.179948806762695312e+00,1.020000000000000000e+02
-1.000000000000000000e+00,-5.484353065490722656e+00,-5.709791183471679688e+00,1.030000000000000000e+02
-1.000000000000000000e+00,-6.300669193267822266e+00,-5.516179084777832031e+00,1.040000000000000000e+02
-1.000000000000000000e+00,-7.074299812316894531e+00,-5.338944911956787109e+00,1.050000000000000000e+02
-1.000000000000000000e+00,-7.825237274169921875e+00,-5.166098594665527344e+00,1.060000000000000000e+02
-1.000000000000000000e+00,-8.514461517333984375e+00,-5.020356655120849609e+00,1.070000000000000000e+02
-1.000000000000000000e+00,-9.141112327575683594e+00,-4.890816688537597656e+00,1.080000000000000000e+02
-1.000000000000000000e+00,-9.707658767700195312e+00,-4.777936458587646484e+00,1.090000000000000000e+02
-1.000000000000000000e+00,-1.021207809448242188e+01,-8.881412506103515625e+00,1.100000000000000000e+02
-1.000000000000000000e+00,-1.151731586456298828e+01,-4.580649852752685547e+00,1.110000000000000000e+02
-1.000000000000000000e+00,-1.150274181365966797e+01,-4.404060840606689453e+00,1.120000000000000000e+02
-1.000000000000000000e+00,-1.262351512908935547e+01,-7.950849533081054688e+00,1.130000000000000000e+02
-1.000000000000000000e+00,-1.394587135314941406e+01,-3.897226810455322266e+00,1.140000000000000000e+02
-1.000000000000000000e+00,-1.525621604919433594e+01,-3.656236648559570312e+00,1.150000000000000000e+02
-1.000000000000000000e+00,-1.642236518859863281e+01,-3.443080425262451172e+00,1.160000000000000000e+02
-1.000000000000000000e+00,-1.744251823425292969e+01,-3.245702266693115234e+00,1.170000000000000000e+02
-1.000000000000000000e+00,-1.840769767761230469e+01,-3.048233985900878906e+00,1.180000000000000000e+02
-1.000000000000000000e+00,-1.941873359680175781e+01,-2.841456890106201172e+00,1.190000000000000000e+02
-1.000000000000000000e+00,-2.051946258544921875e+01,-2.625638723373413086e+00,1.200000000000000000e+02
-1.000000000000000000e+00,-2.168640327453613281e+01,-2.406354904174804688e+00,1.210000000000000000e+02
-1.000000000000000000e+00,-2.286523246765136719e+01,-2.188579559326171875e+00,1.220000000000000000e+02
-1.000000000000000000e+00,-2.401368713378906250e+01,-1.973851442337036133e+00,1.230000000000000000e+02
-1.000000000000000000e+00,-2.512279701232910156e+01,-1.760952472686767578e+00,1.240000000000000000e+02
-1.000000000000000000e+00,-2.621096229553222656e+01,-1.810106039047241211e+00,1.250000000000000000e+02
-1.000000000000000000e+00,-2.730437088012695312e+01,-2.034228086471557617e+00,1.260000000000000000e+02
-1.000000000000000000e+00,-2.841854286193847656e+01,-2.241385936737060547e+00,1.270000000000000000e+02
-1.000000000000000000e+00,-2.955267715454101562e+01,-2.433051347732543945e+00,1.280000000000000000e+02
-1.000000000000000000e+00,-3.069540023803710938e+01,-2.613697767257690430e+00,1.290000000000000000e+02
-1.000000000000000000e+00,-3.183482742309570312e+01,-2.787550687789916992e+00,1.300000000000000000e+02
-1.000000000000000000e+00,-3.296559906005859375e+01,-2.956521987915039062e+00,1.310000000000000000e+02
-1.000000000000000000e+00,-3.408978652954101562e+01,-3.120179176330566406e+00,1.320000000000000000e+02
-1.000000000000000000e+00,-3.521275329589843750e+01,-3.277046680450439453e+00,1.330000000000000000e+02
