ax_clip,deltaf_clip_deg,timestep
4.782565116882324219e+00,3.097968548536300659e-02,1.700000000000000000e+02
4.860464572906494141e+00,3.580111637711524963e-02,1.710000000000000000e+02
4.930510997772216797e+00,3.769239783287048340e-02,1.720000000000000000e+02
4.993506908416748047e+00,3.492207080125808716e-02,1.730000000000000000e+02
5.000000000000000000e+00,2.804953418672084808e-02,1.740000000000000000e+02
5.000000000000000000e+00,1.992502622306346893e-02,1.750000000000000000e+02
5.000000000000000000e+00,1.417127624154090881e-02,1.760000000000000000e+02
5.000000000000000000e+00,1.337214279919862747e-02,1.770000000000000000e+02
5.000000000000000000e+00,1.752763055264949799e-02,1.780000000000000000e+02
5.000000000000000000e+00,2.410715073347091675e-02,1.790000000000000000e+02
5.000000000000000000e+00,2.919495850801467896e-02,1.800000000000000000e+02
5.000000000000000000e+00,2.938142046332359314e-02,1.810000000000000000e+02
5.000000000000000000e+00,2.378749847412109375e-02,1.820000000000000000e+02
4.771167278289794922e+00,1.446429081261157990e-02,1.830000000000000000e+02
4.290497779846191406e+00,5.354184657335281372e-03,1.840000000000000000e+02
3.858249664306640625e+00,6.659434293396770954e-04,1.850000000000000000e+02
3.469541788101196289e+00,2.743686782196164131e-03,1.860000000000000000e+02
3.119988679885864258e+00,1.065509486943483353e-02,1.870000000000000000e+02
2.805648803710937500e+00,2.029795385897159576e-02,1.880000000000000000e+02
2.522977828979492188e+00,2.626480907201766968e-02,1.890000000000000000e+02
2.268790006637573242e+00,2.458663098514080048e-02,1.900000000000000000e+02
2.040207147598266602e+00,1.499704550951719284e-02,1.910000000000000000e+02
1.834675550460815430e+00,1.598264207132160664e-03,1.920000000000000000e+02
1.649842262268066406e+00,-9.110105223953723907e-03,1.930000000000000000e+02
1.483636260032653809e+00,-1.118784956634044647e-02,1.940000000000000000e+02
1.334161520004272461e+00,-2.663773717358708382e-03,1.950000000000000000e+02
1.199743986129760742e+00,1.286602672189474106e-02,1.960000000000000000e+02
1.078871965408325195e+00,2.767660655081272125e-02,1.970000000000000000e+02
9.701746702194213867e-01,3.353690728545188904e-02,1.980000000000000000e+02
8.724308609962463379e-01,2.589187771081924438e-02,1.990000000000000000e+02
7.845343947410583496e-01,7.138913031667470932e-03,2.000000000000000000e+02
7.055074572563171387e-01,-1.411799993366003036e-02,2.010000000000000000e+02
6.344361305236816406e-01,-2.671764977276325226e-02,2.020000000000000000e+02
5.705176591873168945e-01,-2.277526445686817169e-02,2.030000000000000000e+02
5.130345821380615234e-01,-2.450671978294849396e-03,2.040000000000000000e+02
4.613420963287353516e-01,2.519929967820644379e-02,2.050000000000000000e+02
4.148594439029693604e-01,4.595009610056877136e-02,2.060000000000000000e+02
3.730528056621551514e-01,4.754836112260818481e-02,2.070000000000000000e+02
3.354524374008178711e-01,2.655782178044319153e-02,2.080000000000000000e+02
3.016654849052429199e-01,-8.603989146649837494e-03,2.090000000000000000e+02
2.712990641593933105e-01,-4.078237339854240417e-02,2.100000000000000000e+02
2.439774423837661743e-01,-5.213005095720291138e-02,2.110000000000000000e+02
2.193717211484909058e-01,-3.380328416824340820e-02,2.120000000000000000e+02
1.972513645887374878e-01,8.071234449744224548e-03,2.130000000000000000e+02
1.773942708969116211e-01,5.370167642831802368e-02,2.140000000000000000e+02
1.595271676778793335e-01,7.868787646293640137e-02,2.150000000000000000e+02
1.434194296598434448e-01,6.662097573280334473e-02,2.160000000000000000e+02
1.289515048265457153e-01,1.915253140032291412e-02,2.170000000000000000e+02
1.159995719790458679e-01,-4.270029067993164062e-02,2.180000000000000000e+02
1.043799668550491333e-01,-8.718530833721160889e-02,2.190000000000000000e+02
9.384930878877639771e-02,-8.779797703027725220e-02,2.200000000000000000e+02
8.431790024042129517e-02,-3.846488893032073975e-02,2.210000000000000000e+02
7.581564784049987793e-02,4.056927189230918884e-02,2.220000000000000000e+02
6.824433803558349609e-02,1.101470366120338440e-01,2.230000000000000000e+02
6.136054173111915588e-02,1.310310214757919312e-01,2.240000000000000000e+02
5.507032945752143860e-02,8.534730970859527588e-02,2.250000000000000000e+02
4.949753358960151672e-02,-1.094810850918292999e-02,2.260000000000000000e+02
4.467204585671424866e-02,-1.122247800230979919e-01,2.270000000000000000e+02
4.026505351066589355e-02,-1.639552712440490723e-01,2.280000000000000000e+02
3.605449572205543518e-02,-1.314572244882583618e-01,2.290000000000000000e+02
3.226243332028388977e-02,-2.117699943482875824e-02,2.300000000000000000e+02
2.913654223084449768e-02,1.171527728438377380e-01,2.310000000000000000e+02
2.640352398157119751e-02,2.117966264486312866e-01,2.320000000000000000e+02
2.358509786427021027e-02,2.054302096366882324e-01,2.330000000000000000e+02
2.088197134435176849e-02,8.790452778339385986e-02,2.340000000000000000e+02
1.889626309275627136e-02,-9.160717576742172241e-02,2.350000000000000000e+02
1.746996864676475525e-02,-2.436287552118301392e-01,2.360000000000000000e+02
1.570204645395278931e-02,-2.817473113536834717e-01,2.370000000000000000e+02
1.352844294160604477e-02,-1.699221134185791016e-01,2.380000000000000000e+02
1.199111994355916977e-02,5.085143446922302246e-02,2.390000000000000000e+02
1.144451554864645004e-02,2.748747766017913818e-01,2.400000000000000000e+02
1.060325838625431061e-02,3.805200755596160889e-01,2.410000000000000000e+02
8.694415912032127380e-03,2.943203449249267578e-01,2.420000000000000000e+02
7.152822799980640411e-03,3.761248663067817688e-02,2.430000000000000000e+02
7.332176901400089264e-03,-2.725839614868164062e-01,2.440000000000000000e+02
7.695156149566173553e-03,-4.745245873928070068e-01,2.450000000000000000e+02
6.051074713468551636e-03,-4.437047541141510010e-01,2.460000000000000000e+02
3.766441484913229942e-03,-1.658465415239334106e-01,2.470000000000000000e+02
3.988499287515878677e-03,2.407252043485641479e-01,2.480000000000000000e+02
5.764961708337068558e-03,5.716991424560546875e-01,2.490000000000000000e+02
4.825486335903406143e-03,6.366419196128845215e-01,2.500000000000000000e+02
1.323806005530059338e-03,3.645107746124267578e-01,2.510000000000000000e+02
7.900132914073765278e-04,-1.414730101823806763e-01,2.520000000000000000e+02
4.436885006725788116e-03,-6.370148062705993652e-01,2.530000000000000000e+02
5.414793267846107483e-03,-8.507826328277587891e-01,2.540000000000000000e+02
3.672493912745267153e-04,-6.286239027976989746e-01,2.550000000000000000e+02
-2.822695998474955559e-03,-3.327053040266036987e-02,2.560000000000000000e+02
2.190685365349054337e-03,6.608289480209350586e-01,2.570000000000000000e+02
6.930764764547348022e-03,1.088737487792968750e+00,2.580000000000000000e+02
1.097477856092154980e-03,9.817337989807128906e-01,2.590000000000000000e+02
-7.016171701252460480e-03,3.265253603458404541e-01,2.600000000000000000e+02
-2.028412418439984322e-03,-5.933821797370910645e-01,2.610000000000000000e+02
9.330696426331996918e-03,-1.312254667282104492e+00,2.620000000000000000e+02
5.491659510880708694e-03,-1.411613464355468750e+00,2.630000000000000000e+02
-1.051358133554458618e-02,-7.543807029724121094e-01,2.640000000000000000e+02
-1.023173891007900238e-02,4.025228619575500488e-01,2.650000000000000000e+02
